Attendance,NONLOSS_PRCT
6758,84.8484848484848
9074,100.0
8282,100.0
7403,77.7777777777778
8741,81.8181818181818
7814,76.9230769230769
11632,73.3333333333333
10017,76.4705882352941
13812,73.6842105263158
6763,76.1904761904762
8251,77.2727272727273
7612,73.9130434782609
8303,76.0
6698,76.9230769230769
7357,76.6666666666667
9104,77.4193548387097
6378,78.125
7117,78.7878787878788
10047,79.4117647058823
14456,80.0
7933,80.5555555555556
6336,100.0
6009,100.0
7876,100.0
8683,75.0
7978,81.8181818181818
