Attendance,WIN_PRCT
6758,57.5757575757576
9074,66.6666666666667
8282,60.0
7403,44.4444444444444
8741,54.5454545454545
7814,53.8461538461538
11632,53.3333333333333
10017,52.9411764705882
13812,52.6315789473684
6763,57.1428571428571
8251,59.0909090909091
7612,56.5217391304348
8303,60.0
6698,57.6923076923077
7357,53.3333333333333
9104,54.8387096774194
6378,56.25
7117,57.5757575757576
10047,58.8235294117647
14456,60.0
7933,61.1111111111111
6336,100.0
6009,100.0
7876,80.0
8683,62.5
7978,63.6363636363636
